id,zone,x_km,y_km,population,median_income,elderly_pct,chronic_disease_pct,accidents_per_year,distance_to_main_road_km,demand_index
1,downtown,0.5,5.5,9562,1415.53,0.161,0.169,48,0.96,46.99
2,downtown,1.87,4.65,12214,1292.87,0.166,0.15,59,1.01,54.79
3,suburban,16.19,0.13,6320,1288.7,0.094,0.073,33,2.68,31.49
4,downtown,7.6,7.18,10407,1085.16,0.085,0.126,49,1.86,46.04
5,downtown,11.04,16.59,12329,1503.19,0.149,0.15,46,0.61,52.77
6,suburban,19.7,17.11,6532,1066.09,0.109,0.175,14,2.78,31.1
7,suburban,14.04,13.67,3749,1244.48,0.119,0.087,21,2.35,24.3
8,low_income,13.69,16.86,9879,441.62,0.106,0.213,39,1.13,46.15
9,suburban,4.25,9.98,6596,1250.0,0.069,0.071,28,3.69,29.76
10,rural,17.96,7.99,1501,898.52,0.263,0.177,5,3.77,19.04
11,low_income,15.84,8.44,6317,502.65,0.279,0.256,63,3.08,44.06
12,downtown,13.61,2.29,14193,1425.61,0.172,0.114,55,0.48,58.38
13,downtown,19.08,17.52,9843,1250.41,0.101,0.171,75,0.74,52.08
14,low_income,3.06,15.25,8696,661.45,0.195,0.15,41,0.56,44.09
15,suburban,17.57,16.63,4576,840.55,0.164,0.192,12,3.43,26.76
16,downtown,19.56,10.65,8880,1361.83,0.194,0.097,63,1.29,46.58
17,low_income,18.58,15.11,9449,635.18,0.172,0.284,43,3.2,46.59
18,rural,2.42,4.49,1881,652.99,0.184,0.216,6,7.42,16.25
19,low_income,1.35,0.63,7652,555.66,0.15,0.247,48,2.67,42.61
20,rural,4.86,9.46,2102,356.6,0.305,0.256,11,9.05,18.89
21,downtown,13.47,19.68,8688,1181.83,0.121,0.166,53,0.54,45.63
22,rural,2.8,3.67,2280,824.69,0.141,0.392,17,3.69,26.73
23,downtown,19.38,18.53,13940,1016.42,0.138,0.101,59,0.31,57.87
24,rural,0.04,7.81,3764,771.08,0.2,0.359,15,8.48,25.09
25,rural,3.1,5.93,3899,647.51,0.272,0.374,5,7.09,26.38
26,low_income,1.14,10.16,10256,377.41,0.112,0.322,44,3.32,48.59
27,low_income,11.58,0.79,6409,612.95,0.202,0.213,39,2.51,38.11
28,suburban,4.77,7.92,5850,1010.0,0.091,0.163,11,3.29,27.86
29,downtown,1.47,4.26,9856,1553.28,0.186,0.168,57,0.48,50.19
30,suburban,12.23,19.74,5788,805.48,0.156,0.095,26,5.69,27.41
31,low_income,5.29,17.79,9712,412.18,0.151,0.192,42,2.56,45.04
32,suburban,10.11,5.02,6678,835.56,0.132,0.174,11,2.67,31.3
33,low_income,12.74,5.24,9706,570.67,0.177,0.152,32,3.15,41.95
34,low_income,10.91,16.69,8912,409.24,0.123,0.212,61,2.89,46.49
35,downtown,17.98,4.2,9746,971.96,0.174,0.168,59,1.32,49.29
36,low_income,18.52,4.73,6812,669.95,0.132,0.232,36,3.27,37.15
37,rural,16.04,17.28,3394,460.08,0.34,0.182,18,9.01,21.93
38,low_income,3.99,18.37,7748,678.21,0.257,0.195,53,1.7,45.05
39,suburban,17.29,19.34,4476,1249.04,0.102,0.197,23,5.7,25.51
40,downtown,17.54,5.22,12064,1588.49,0.085,0.14,57,1.62,51.99
41,rural,12.12,10.23,2032,645.95,0.191,0.363,5,9.48,18.14
42,low_income,7.28,1.4,9321,482.08,0.157,0.32,55,1.4,51.02
43,suburban,13.34,6.52,5940,1188.09,0.075,0.15,19,4.74,27.56
44,low_income,12.31,6.02,8739,350.16,0.152,0.236,50,2.46,45.49
45,rural,8.84,13.51,2435,776.24,0.389,0.371,14,4.99,28.43
46,suburban,1.87,19.04,4322,1017.29,0.155,0.072,11,5.92,20.35
47,downtown,9.11,17.72,12029,1402.84,0.126,0.12,50,1.44,50.89
48,downtown,15.57,4.38,13628,1387.14,0.136,0.136,77,0.42,61.26
49,low_income,16.03,13.35,10939,588.18,0.271,0.328,51,2.66,54.69
50,rural,16.61,10.96,3671,746.19,0.253,0.228,8,7.46,22.1
51,rural,12.53,5.49,1047,471.44,0.196,0.246,13,3.97,20.0
52,low_income,7.66,3.06,7069,515.95,0.16,0.243,32,3.0,37.97
53,rural,18.1,11.68,3025,814.04,0.334,0.264,5,5.46,24.15
54,rural,17.07,19.07,2140,748.51,0.273,0.331,8,4.54,24.32
